title,alt_title,type,num_of_ep,studio,year,rating,description,tags
Toradora!,No alternative title found,TV Series,25,J.C. Staff,2008,4.5,"Ryuuji Takasu has an eventful life: his classmates think he's a delinquent due to his 'killer' eyes; his crush Minori seems ever out of reach; and he’s just had an unfortunate encounter with 'palm-sized Taiga' – a feisty and dainty wench in his class. With different cleaning habits and tempers, the two clash like night and day; that is, except for the fact that Taiga and Ryuuji have crushes on the other's good friend! With school rumors abounding, the duo must now work together to play matchmaker for each other. Who will end up with their true love?","['Comedy', 'Romance', 'Coming of Age', 'Love Confession', 'Neighbors', 'Romantic Comedy', 'School Life', 'Tsundere', 'Based on a Light Novel']"

Kids on the Slope,Sakamichi no Apollon,TV Series,12,Tezuka Productions,2012,4.5,"Lonely Kaoru Nishimi has lost count of how many times he has moved schools thanks to his father's naval career. Newly landed in Kyushu, he finds most of his classmates instantly antagonistic towards him and suspicious of his elite background. Only two other students seem not to mind who he is – the infamously abrasive Sentarou and the gentle Ritsuko. Unbeknownst to Kaoru they have a passion for jazz, and they're about to pull him out of his stiff, joyless world into theirs of loose, swinging self-expression. Through friendship and frustration, love and despair, Kaoru will learn that life has a wealth of experiences in store for him!","['Drama', 'Josei', 'Romance', 'Coming of Age', 'Historical', 'Lifestyle Change', 'Love Triangle', 'Music', 'noitaminA', 'Based on a Manga']"

Fate/stay night: Unlimited Blade Works,No alternative title found,TV Series,12,ufotable,2014,4.5,"Fuyuki City—a city surrounded by the ocean and the mountains becomes the setting for an age old ritual. To realize the mythical Holy Grail, which is said to grant any wish from its possessor, seven masters are given seven heroic spirits chosen by the Grail. These heroic spirits or servants are: Saber, Lancer, Archer, Rider, Caster, Assassin and Berserker. Each master will enter into a contract with their assigned servants and battle the other masters and servants to the death until only one pair remains…This is the ―Holy Grail War.","['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Superpowers', 'Urban Fantasy', 'Violence', 'Based on an Eroge', 'Based on a Visual Novel']"

Kamisama Kiss 2nd Season,Kamisama Hajimemashita◎,TV Series,12,TMS Entertainment,2015,4.5,"Nanami the Land God is back with the handsome fox familiar Tomoe at her side! After a rough start as a newly ordained god, she’s finally finding her land legs in the world of gods, demons, and spirits. However, not everything is going magically well. Nanami’s feelings for Tomoe are growing stronger, but Tomoe goes from hot to cold faster than a weather god! And he’s not the only moody demon. The flowers in Kurama’s mountain home are dying, and the person behind the wilting wildlife is none other than his brother Jirou!","['Comedy', 'Fantasy', 'Romance', 'Shoujo', 'Japanese Mythology', 'Master-Servant Relationship', 'Based on a Manga']"

The Ancient Magus' Bride,Mahou Tsukai no Yome,TV Series,24,Wit Studio,2017,4.5,"Chise Hitori was a child nobody wanted. Told by her own mother that she should never have been born and passed from one neglectful guardian to the next, the young girl has grown up feeling lost, hopeless and emotionally numb. At age fifteen she sells herself into slavery, desperate for a home where somebody- <em>anybody</em>- actually wants her to be there, and is purchased by a mysterious being with a skull for a head. He whisks Chise off to his home in England and introduces her to a world of talking animals, dragons and faeries, declaring that she is to become his apprentice in magic... and also his bride!","['Drama', 'Fantasy', 'Romance', 'Apprenticeship', 'Contemporary Fantasy', 'England', 'Europe', 'Lifestyle Change', 'Magic', 'Orphans', 'Animal Abuse', 'Physical Abuse', 'Based on a Manga']"

Fate/Zero,No alternative title found,TV Series,13,ufotable,2011,4.4,"Ten years before Shirou Emiya's and Saber's fateful meeting, Japan is the stage for the fourth Holy Grail War. Seven Masters, each with his own dreams, step forward to win the boon of the mystic relic. Into this fray comes Kiritsugu Emiya, the enigmatic ""Mage Killer"" who wants to use the Grail to make a better world. Can he, paired with the indomitable Saber win the War? Or will he fall to the ambitions of the other mages?","['Action', 'Fantasy', 'Contemporary Fantasy', 'Magic', 'Proxy Battles', 'Rivalries', 'Superpowers', 'Urban Fantasy', 'Violence', 'Based on a Light Novel']"

Baccano!,No alternative title found,TV Series,13,Brain's Base,2007,4.4,"It's the 1930s, and Mafia groups fight for supremacy in American cities. Young Firo joins the secretive Camorra group; a meek street boy, Jacuzzi, finds himself the leader of a gang of thugs; an alchemist is producing a liquor of immortality, and a homunculus tries to retrieve it; and upbeat thieves Isaac and Miria head to New York after failing to strike gold in California. They ride the novel train, the Flying Pussyfoot, across the continent. However they find themselves embroiled in a ruckus caused by gangs, terrorists, serial killers, and others as multiple stories intertwine and unfold on this fateful ride. All are haunted and hunted by the legendary Rail Tracer...","['Action', 'America', 'Gangs', 'Human Experimentation', 'Mafia', 'Noir', 'Supernatural', 'Trains', 'Violence', 'Based on a Light Novel']"

The Seven Deadly Sins,Nanatsu no Taizai,TV Series,24,A-1 Pictures,2014,4.4,"The kingdom of Liones is thrown into turmoil when the king's Holy Knights are corrupted by a distinctly unholy demonic power. The land's only hope is a band of powerful warriors known as The Seven Deadly Sins - an exiled group of oddballs who seem to spend as much time fighting each other as they do fighting their enemies. Princess Elizabeth desperately seeks their aid, but the leader of her would-be saviors turns out to be an undersized pervert with a broken blade and a talking pig! They are soon joined by a jealous giant, a fussy fairy, and an immortal bandit pining over his lost love. Can these people <em>really</em> be the legendary heroes she's looking for?","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Demons', 'Magic', 'Medieval', 'Overpowered Main Characters', 'Pigs', 'Royalty', 'Superpowers', 'Violence', 'Animal Abuse', 'Based on a Manga']"

Major Season 2,No alternative title found,TV Series,26,Studio Hibari,2005,4.4,"Goro is back, and just in time to revive the struggling East Mifune Middle School baseball team! After four years, none could be happier to see him than his old friends Komori, Sawamura and Shimizu, but having grown older and taken different paths, baseball is no longer the bond it used to be. Add to that tournaments, bullies both on and off the pitch, and the ongoing threat of his friend-turned-rival Sato Toshiya, and it really looks like Goro has his work cut out for him. Still, his dream to go pro burns strong; if he must single-handedly build East Mifune from the ground up to realize that dream, then so be it. With new challenges and stronger opponents than ever before, let's hope Goro can keep his infamous cool long enough to strike 'em all into defeat!","['Drama', 'Shounen', 'Sports', 'Baseball', 'Based on a Manga']"

Black Butler: Book of Murder,Kuroshitsuji: Book of Murder,OVA,2,A-1 Pictures,2014,4.4,"At the Queen's behest, young master Ciel Phantomhive hosts a lavish banquet to be attended by the crème-de-la-crème of London's elite. What begins as a fabulous affair quickly takes a dark turn when guests begin turning up dead! Murder takes center stage in this chilling OVA collection where even a debonair demon butler isn't safe from a killer on the prowl. Should Sebastian and Ciel wish to once more see the light of day, they must join forces with their guests, including the legendary author Sir Arthur Conan Doyle, to unravel the mystery – and apprehend the murderer before it's too late!","['Mystery', 'Shounen', '19th Century', 'Butlers', 'Demons', 'England', 'Europe', 'Master-Servant Relationship', 'Supernatural', 'Based on a Manga']"

Nausicaa of the Valley of the Wind,Kaze no Tani no Nausicaa,Movie,1,Top Craft,1984,4.4,"One thousand years after the Giant Warriors caused an apocalyptic event known as the seven days of fire, humans are living in constant fear of the Toxic Jungle. This ever-spreading forest is filled with poisonous plants and gigantic monstrous insects; even the very air is deadly. Nausicaa is the kind and wise princess of a small, peaceful country known as the Valley of the Wind, which has so far avoided the spread of the forest. One night a large airship containing one of the Giant Warriors crashes into the valley. The following day soldiers from the powerful nation of Tolmekia invade the Valley of the Wind to reclaim and revive the warrior. As the only one who truly believes that there is a way for humans to live alongside the insects, Nausicaa must find a way to stop the war that now threatens her people and protect the Toxic Jungle before the Tolmekians burn it to the ground.","['Drama', 'Fantasy', 'Environmental', 'Insects', 'Based on a Manga']"

Major Season 3,No alternative title found,TV Series,26,Studio Hibari,2007,4.4,"Having turned down a place as Kaido’s ace, Egashira Edawara, Kaido’s agent, still hasn’t forgiven Goro, and his dirty politics deal our hero a devastating blow! Refused entry into every school with a baseball team, Goro joins Seishuu High where baseball has no place and the girls outnumber the boys 452 to 38. Never one to balk at a challenge, Goro decides to set up a new team of his own to use to defeat Kaido; but first he must persuade the few unwilling boys at his disposal to join him before even thinking about how he will train them up to be good enough. Things at home aren’t easy either as his father struggles with the last days of his baseball career. As Goro enters the grown-up world of baseball where being an ace alone is of little use, he must learn to take responsibility not just for his own training but for those of the entire team...","['Drama', 'Shounen', 'Sports', 'Baseball', 'Based on a Manga']"

Haikyuu!! Movie 3: Sainou to Sense,No alternative title found,Movie,1,Production I.G,2017,4.4,The first movie will portray the match against Aobajousai High School in the first season.,"['Shounen', 'Sports', 'Recap', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']"

Fullmetal Alchemist,Hagane no Renkinjutsushi,TV Series,51,Bones,2003,4.4,"Once upon a time, two brothers passed the happy days of their childhood by studying alchemy, which is governed by the equal transfer principle: an eye for an eye -- you can't get more than you give. But these brothers tried to defy that law, and a horrific accident resulted. Now, the older brother, Edward, is called the Full Metal Alchemist because of his metal limbs, and the younger, Alphonse, is a soul without a body, trapped within the confines of an automaton. Together they search for the power to restore themselves, to find the lives they lost so long ago...","['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Military', 'Siblings', 'Violence', 'Animal Abuse', 'Based on a Manga']"
